,Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,topic,cosponsor_ids
16,H.R. 7917,https://www.congress.gov/bill/119th-congress/house-bill/7917,119th Congress (2025-2026),To amend the Fair Labor Standards Act of 1938 to ensure that certain caregiving employees are no longer exempted from overtime and minimum wage protections.,"Ocasio-Cortez, Alexandria [Rep.-D-NY-14]",2026-03-12,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-03-12,58,public_safety,"['T000481', 'W000822', 'C001061', 'W000808', 'B001324', 'K000391', 'N000147', 'M001229', 'H001094', 'S001231', 'S001145', 'T000486', 'L000602', 'C001072', 'M001196', 'P000620', 'J000298', 'B001315', 'J000310', 'B001278', 'D000624', 'P000597', 'M001238', 'K000402', 'E000296', 'F000462', 'G000599', 'T000488', 'D000617', 'D000635', 'S001193', 'S001226', 'C001080', 'B001318', 'L000606', 'O000173', 'L000582', 'M001231', 'L000562', 'B001300', 'S001159', 'M000312', 'T000469', 'P000607', 'N000188', 'N000002', 'M001227', 'P000617', 'A000370', 'G000606', 'A000381', 'K000389', 'G000585', 'M001208', 'F000476', 'D000096', 'G000586', 'T000472', 'H001081', 'D000216', 'F000483', 'R000617', 'B001296']"
17,H.R. 7916,https://www.congress.gov/bill/119th-congress/house-bill/7916,119th Congress (2025-2026),"To amend title 34, United States Code, to authorize eligible privately owned and operated forensic DNA testing laboratories to directly upload qualifying DNA profiles to the National DNA Index System, and for other purposes.","Nehls, Troy E. [Rep.-R-TX-22]",2026-03-12,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-03-12,0,healthcare,[]
18,H.R. 7915,https://www.congress.gov/bill/119th-congress/house-bill/7915,119th Congress (2025-2026),"To direct the Joint Committee of Congress on the Library to obtain a statue of Clarence Mitchell, Jr. for placement in the United States Capitol.","Mfume, Kweisi [Rep.-D-MD-7]",2026-03-12,House - House Administration,Referred to the House Committee on House Administration.,2026-03-12,8,veterans,"['O000176', 'E000301', 'B000490', 'D000096', 'C001072', 'B001313', 'T000488', 'F000481', 'H000874', 'B001300', 'N000147', 'E000296']"
19,H.R. 7914,https://www.congress.gov/bill/119th-congress/house-bill/7914,119th Congress (2025-2026),"To amend the Food Security Act of 1985 with respect to the experienced services program, and for other purposes.","McClain Delaney, April [Rep.-D-MD-6]",2026-03-12,House - Agriculture,Referred to the House Committee on Agriculture.,2026-03-12,1,public_safety,['V000138']
20,H.R. 7913,https://www.congress.gov/bill/119th-congress/house-bill/7913,119th Congress (2025-2026),"To amend the Food and Agriculture Act of 1977 to reauthorize grants and fellowships for food and agricultural sciences education, and for other purposes.","McClain Delaney, April [Rep.-D-MD-6]",2026-03-12,House - Agriculture,Referred to the House Committee on Agriculture.,2026-03-12,1,education,['V000138']
21,H.R. 7912,https://www.congress.gov/bill/119th-congress/house-bill/7912,119th Congress (2025-2026),To require providers to disclose policies regarding the minimum gestational age at which life-saving care will be provided to an infant in the case of a premature birth.,"Mackenzie, Ryan [Rep.-R-PA-7]",2026-03-12,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,0,healthcare,[]
22,H.R. 7911,https://www.congress.gov/bill/119th-congress/house-bill/7911,119th Congress (2025-2026),"To direct the Secretary of Health and Human Services, acting through the Administrator of the Administration for Community Living, to establish a program under which the Secretary will award grants to nonprofit organizations to carry out programs and activities intended to promote caregiver wellness, and for other purposes.","Lawler, Michael [Rep.-R-NY-17]",2026-03-12,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-03-12,0,funding,[]
23,H.R. 7910,https://www.congress.gov/bill/119th-congress/house-bill/7910,119th Congress (2025-2026),"To establish an AmeriCorps Administration to carry out the national and volunteer service programs, to expand participation in such programs, and for other purposes.","Larson, John B. [Rep.-D-CT-1]",2026-03-12,"House - Education and Workforce, Ways and Means","Referred to the Committee on Education and Workforce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,16,funding,"['L000562', 'Q000023', 'M001160', 'D000617', 'D000197', 'G000559', 'G000583', 'C001080', 'M001196', 'C001112', 'N000147', 'C001117', 'E000299', 'K000391', 'L000601', 'S001231']"
24,H.R. 7909,https://www.congress.gov/bill/119th-congress/house-bill/7909,119th Congress (2025-2026),"To amend title XVIII of the Social Security Act to provide for an option for individuals who are ages 50 to 64 to buy into Medicare, to provide for health insurance market stabilization, and for other purposes.","Krishnamoorthi, Raja [Rep.-D-IL-8]",2026-03-12,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,0,healthcare,[]
25,H.R. 7908,https://www.congress.gov/bill/119th-congress/house-bill/7908,119th Congress (2025-2026),"To amend title 38, United States Code, to provide for an additional 36 months of entitlement to educational assistance for individuals who serve 20 or more years in the Armed Forces, and for other purposes.","Kiggans, Jennifer A. [Rep.-R-VA-2]",2026-03-12,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,2026-03-12,0,veterans,[]
26,H.R. 7907,https://www.congress.gov/bill/119th-congress/house-bill/7907,119th Congress (2025-2026),"To direct the Director of the National Institute of Standards and Technology to facilitate the establishment of definitions, standards, resources, and frameworks to ensure certain biological datasets are ready for use in artificial intelligence models, and for other purposes.","Khanna, Ro [Rep.-D-CA-17]",2026-03-12,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",2026-03-12,1,funding,"['O000019', 'H001085']"
27,H.R. 7906,https://www.congress.gov/bill/119th-congress/house-bill/7906,119th Congress (2025-2026),"To direct the Secretary of Agriculture to establish and administer a pilot program to provide grants to support Food is Medicine programs, and for other purposes.","Kelly, Robin L. [Rep.-D-IL-2]",2026-03-12,"House - Agriculture, Energy and Commerce","Referred to the Committee on Agriculture, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,6,funding,"['K000399', 'N000147', 'S001185', 'D000096', 'F000481', 'B001326', 'F000466', 'L000606']"
28,H.R. 7905,https://www.congress.gov/bill/119th-congress/house-bill/7905,119th Congress (2025-2026),"To amend title XIX of the Social Security Act to cover physician services delivered by podiatric physicians to ensure access by Medicaid beneficiaries to appropriate quality foot and ankle care, to amend title XVIII of such Act to modify the requirements for diabetic shoes to be included under Medicare, and for other purposes.","Joyce, John [Rep.-R-PA-13]",2026-03-12,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,5,healthcare,"['D000197', 'R000619', 'S001216', 'K000403', 'S001200']"
29,H.R. 7904,https://www.congress.gov/bill/119th-congress/house-bill/7904,119th Congress (2025-2026),"To require the Attorney General to establish a grant program to assist with the medical expenses of qualified working dogs, and for other purposes.","James, John [Rep.-R-MI-10]",2026-03-12,"House - Judiciary, Armed Services, Veterans' Affairs","Referred to the Committee on the Judiciary, and in addition to the Committees on Armed Services, and Veterans' Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,0,funding,[]
30,H.R. 7903,https://www.congress.gov/bill/119th-congress/house-bill/7903,119th Congress (2025-2026),"To call for accountability for the killing of innocent civilians, including 5-year-old Hind Rajab and 2 paramedics, in an attack in Gaza City on January 29, 2024, by Israel Defense Forces, to require the Secretary of State to report to Congress on the attack and to determine if any of the weapons and munitions used in the attack were provided by the United States or if any of the soldiers responsible for such killings were United States citizens or were trained by the United States, and for other purposes.","Jacobs, Sara [Rep.-D-CA-51]",2026-03-12,"House - Foreign Affairs, Judiciary","Referred to the Committee on Foreign Affairs, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,2,public_safety,"['C001091', 'J000298']"
31,H.R. 7902,https://www.congress.gov/bill/119th-congress/house-bill/7902,119th Congress (2025-2026),"To provide that the approved application under the Federal Food, Drug, and Cosmetic Act for the drug mifepristone for the purpose of the termination of intrauterine pregnancy is deemed to have been withdrawn, to establish a Federal tort for harm to women caused by chemical abortion drugs, and for other purposes.","Harshbarger, Diana [Rep.-R-TN-1]",2026-03-12,"House - Energy and Commerce, Judiciary","Referred to the Committee on Energy and Commerce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,0,healthcare,[]
32,H.R. 7901,https://www.congress.gov/bill/119th-congress/house-bill/7901,119th Congress (2025-2026),"To implement reforms relating to foreign intelligence surveillance authorities, and for other purposes.","Davidson, Warren [Rep.-R-OH-8]",2026-03-12,"House - Judiciary, Intelligence (Permanent Select)","Referred to the Committee on the Judiciary, and in addition to the Committee on Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,3,public_safety,"['L000397', 'J000298', 'J000305', 'N000002', 'R000619']"
33,H.R. 7900,https://www.congress.gov/bill/119th-congress/house-bill/7900,119th Congress (2025-2026),To establish a process for waiver of coastwise endorsement requirements.,"Cline, Ben [Rep.-R-VA-6]",2026-03-12,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,2026-03-12,0,environment,[]
34,H.R. 7899,https://www.congress.gov/bill/119th-congress/house-bill/7899,119th Congress (2025-2026),"To limit the removal from the United States of certain recipients of temporary protected status who are essential workers, and for other purposes.","Cherfilus-McCormick, Sheila [Rep.-D-FL-20]",2026-03-12,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-03-12,0,public_safety,[]
35,H.R. 7898,https://www.congress.gov/bill/119th-congress/house-bill/7898,119th Congress (2025-2026),"To amend title 18, United States Code, to establish criminal penalties for interfering with National Guard protective zones.","Biggs, Sheri [Rep.-R-SC-3]",2026-03-12,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-03-12,3,public_safety,"['D000616', 'H001077', 'M001212', 'A000372']"
36,H.R. 7897,https://www.congress.gov/bill/119th-congress/house-bill/7897,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to exclude from gross income compensation received in connection with inactive-duty training.,"Barr, Andy [Rep.-R-KY-6]",2026-03-12,House - Ways and Means,Referred to the House Committee on Ways and Means.,2026-03-12,2,funding,"['M001222', 'N000193', 'O000175']"
37,H.R. 7896,https://www.congress.gov/bill/119th-congress/house-bill/7896,119th Congress (2025-2026),"To establish within the National Oceanic and Atmospheric Administration a research program comprising global ocean monitoring and observing, and for other purposes.","Amo, Gabe [Rep.-D-RI-1]",2026-03-12,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",2026-03-12,1,environment,['F000472']
38,H.R. 7895,https://www.congress.gov/bill/119th-congress/house-bill/7895,119th Congress (2025-2026),To amend section 408 of the Employee Retirement Income Security Act of 1974 to prohibit kickbacks to pharmacy benefit managers.,"Allen, Rick W. [Rep.-R-GA-12]",2026-03-12,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-03-12,0,healthcare,[]
39,H.R. 7894,https://www.congress.gov/bill/119th-congress/house-bill/7894,119th Congress (2025-2026),Truman Scholarship Clean House Act,"Stefanik, Elise M. [Rep.-R-NY-21]",2026-03-12,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-03-12,0,housing,[]
40,H.R. 7893,https://www.congress.gov/bill/119th-congress/house-bill/7893,119th Congress (2025-2026),FAFSA Verification Efficiency Act,"Walberg, Tim [Rep.-R-MI-5]",2026-03-12,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-03-12,0,housing,[]
41,H.R. 7892,https://www.congress.gov/bill/119th-congress/house-bill/7892,119th Congress (2025-2026),No Aid for Ghost Students Act of 2026,"Owens, Burgess [Rep.-R-UT-4]",2026-03-12,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-03-12,0,housing,[]
42,H.R. 7891,https://www.congress.gov/bill/119th-congress/house-bill/7891,119th Congress (2025-2026),Student Aid Fraud Oversight and Accountability Act of 2026,"Thompson, Glenn [Rep.-R-PA-15]",2026-03-12,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-03-12,0,education,[]
43,H.R. 7890,https://www.congress.gov/bill/119th-congress/house-bill/7890,119th Congress (2025-2026),Science of Reading Act of 2026,"Houchin, Erin [Rep.-R-IN-9]",2026-03-12,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-03-12,2,public_safety,"['M001231', 'K000401', 'F000450']"
44,H.R. 7889,https://www.congress.gov/bill/119th-congress/house-bill/7889,119th Congress (2025-2026),"To amend the Water Resources Research Act of 1984 to reauthorize the water resources research and technology institutes program, and for other purposes.","Wittman, Robert J. [Rep.-R-VA-1]",2026-03-09,House - Natural Resources,Referred to the House Committee on Natural Resources.,2026-03-09,6,environment,"['B001285', 'L000599', 'M001239', 'G000568', 'H001100', 'M001240', 'P000597', 'S001229']"
45,H.R. 7888,https://www.congress.gov/bill/119th-congress/house-bill/7888,119th Congress (2025-2026),"To amend the Financial Stability Act of 2010 to apply the enhanced supervision and prudential standards applicable under such Act with respect to bank holding companies to large banks that do not have a bank holding company, and for other purposes.","Waters, Maxine [Rep.-D-CA-43]",2026-03-09,House - Financial Services,Referred to the House Committee on Financial Services.,2026-03-09,0,funding,[]
46,H.R. 7887,https://www.congress.gov/bill/119th-congress/house-bill/7887,119th Congress (2025-2026),To prohibit stock sales by senior bank executives in certain circumstances.,"Waters, Maxine [Rep.-D-CA-43]",2026-03-09,House - Financial Services,Referred to the House Committee on Financial Services.,2026-03-09,0,funding,[]
47,H.R. 7886,https://www.congress.gov/bill/119th-congress/house-bill/7886,119th Congress (2025-2026),"To provide Federal financial regulators with clawback authority over executive compensation and additional industry prohibition and civil money penalty authority with respect to executives whose negligence caused financial loss to the applicable financial institution, and for other purposes.","Waters, Maxine [Rep.-D-CA-43]",2026-03-09,House - Financial Services,Referred to the House Committee on Financial Services.,2026-03-09,0,funding,[]
48,H.R. 7885,https://www.congress.gov/bill/119th-congress/house-bill/7885,119th Congress (2025-2026),"To direct the Secretary of Education to establish a pilot program to award competitive grants for the integration of cybersecurity education, and for other purposes.","Thompson, Glenn [Rep.-R-PA-15]",2026-03-09,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-03-09,1,education,['B001278']
49,H.R. 7884,https://www.congress.gov/bill/119th-congress/house-bill/7884,119th Congress (2025-2026),"To amend the Internal Revenue Code of 1986 to provide a tax credit to health care professionals that provide health care services in qualifying facilities, and for other purposes.","Tenney, Claudia [Rep.-R-NY-24]",2026-03-09,House - Ways and Means,Referred to the House Committee on Ways and Means.,2026-03-09,1,healthcare,['H001066']
50,H.R. 7883,https://www.congress.gov/bill/119th-congress/house-bill/7883,119th Congress (2025-2026),"To support the preparation and retention of outstanding educators in all fields to ensure a bright future for children and youth in under-resourced and underserved communities in the United States, and for other purposes.","Stevens, Haley M. [Rep.-D-MI-11]",2026-03-09,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-03-09,1,education,"['H001081', 'C001119']"
51,H.R. 7882,https://www.congress.gov/bill/119th-congress/house-bill/7882,119th Congress (2025-2026),"To provide for the leasing of certain deposits of minerals located within the City of Carlsbad, New Mexico.","Stauber, Pete [Rep.-R-MN-8]",2026-03-09,House - Natural Resources,Referred to the House Committee on Natural Resources.,2026-03-09,1,housing,"['H001095', 'P000048']"
52,H.R. 7881,https://www.congress.gov/bill/119th-congress/house-bill/7881,119th Congress (2025-2026),"To amend title 11, District of Columbia Official Code, to provide that grand and petit jurors serving in the Superior Court of the District of Columbia shall receive fees and expenses at the same rates paid to grand and petit jurors appearing in the district courts of the United States.","Norton, Eleanor Holmes [Del.-D-DC-At Large]",2026-03-09,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,2026-03-09,0,public_safety,[]
53,H.R. 7880,https://www.congress.gov/bill/119th-congress/house-bill/7880,119th Congress (2025-2026),To prohibit Federal interference with the interstate traffic of unpasteurized milk and milk products that are packaged for direct human consumption.,"Massie, Thomas [Rep.-R-KY-4]",2026-03-09,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2026-03-09,9,healthcare,"['P000597', 'D000626', 'G000576', 'H001077', 'P000605', 'R000614', 'S001199', 'B000825', 'M000194']"
54,H.R. 7879,https://www.congress.gov/bill/119th-congress/house-bill/7879,119th Congress (2025-2026),"To require the Secretary of State, in consultation with the Secretary of Health and Human Services and other relevant departments and agencies, as appropriate, to formulate a strategy for the Federal Government to secure support from foreign countries, multilateral organizations, and other appropriate entities to facilitate the development and commercialization of qualified pandemic or epidemic products, and for other purposes.","Levin, Mike [Rep.-D-CA-49]",2026-03-09,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,2026-03-09,1,funding,"['V000129', 'F000466']"
55,H.R. 7878,https://www.congress.gov/bill/119th-congress/house-bill/7878,119th Congress (2025-2026),Segal AmeriCorps Educational Award Tax Relief Act of 2026,"Larson, John B. [Rep.-D-CT-1]",2026-03-09,House - Ways and Means,Referred to the House Committee on Ways and Means.,2026-03-09,1,education,['B001298']
56,H.R. 7877,https://www.congress.gov/bill/119th-congress/house-bill/7877,119th Congress (2025-2026),To require the Secretary of Health and Human Services to establish a demonstration program to test mandatory coverage of treatment for wound care for epidermolysis bullosa under the Medicaid program.,"Landsman, Greg [Rep.-D-OH-1]",2026-03-09,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2026-03-09,0,healthcare,[]
57,H.R. 7876,https://www.congress.gov/bill/119th-congress/house-bill/7876,119th Congress (2025-2026),To establish within the Department of Homeland Security the Extraordinary Protection Reimbursement Program.,"Landsman, Greg [Rep.-D-OH-1]",2026-03-09,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-03-09,1,public_safety,"['P000048', 'F000466']"
58,H.R. 7875,https://www.congress.gov/bill/119th-congress/house-bill/7875,119th Congress (2025-2026),To amend the Public Health Service Act to establish a grant program for providing services to individuals experiencing gambling addiction.,"Houchin, Erin [Rep.-R-IN-9]",2026-03-09,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2026-03-09,3,healthcare,"['S001226', 'M001215', 'C001125']"
59,H.R. 7874,https://www.congress.gov/bill/119th-congress/house-bill/7874,119th Congress (2025-2026),"To prohibit a State from distributing unsolicited ballots for voting by mail in any election for Federal office, and for other purposes.","Higgins, Clay [Rep.-R-LA-3]",2026-03-09,House - House Administration,Referred to the House Committee on House Administration.,2026-03-09,7,public_safety,"['S001188', 'G000565', 'T000480', 'F000484', 'B001325', 'L000596', 'B001309', 'C001132']"
60,H.R. 7873,https://www.congress.gov/bill/119th-congress/house-bill/7873,119th Congress (2025-2026),"To promote the energy security of Taiwan, and for other purposes.","Harrigan, Pat [Rep.-R-NC-10]",2026-03-09,"House - Foreign Affairs, Transportation and Infrastructure","Referred to the Committee on Foreign Affairs, and in addition to the Committee on Transportation and Infrastructure, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-09,2,environment,"['O000176', 'L000599', 'F000246']"
61,H.R. 7872,https://www.congress.gov/bill/119th-congress/house-bill/7872,119th Congress (2025-2026),To amend the Mineral Leasing Act to provide for the payment of bonus payments of certain coal leases issued under that Act.,"Hageman, Harriet M. [Rep.-R-WY-At Large]",2026-03-09,House - Natural Resources,Referred to the House Committee on Natural Resources.,2026-03-09,0,housing,[]
62,H.R. 7871,https://www.congress.gov/bill/119th-congress/house-bill/7871,119th Congress (2025-2026),MVP Act,"Guthrie, Brett [Rep.-R-KY-2]",2026-03-09,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-09,5,public_safety,"['A000148', 'M001215', 'J000302', 'P000608', 'D000230']"
63,H.R. 7870,https://www.congress.gov/bill/119th-congress/house-bill/7870,119th Congress (2025-2026),"To require immigration enforcement reforms, and for other purposes.","Gottheimer, Josh [Rep.-D-NJ-5]",2026-03-09,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-03-09,0,public_safety,[]
64,H.R. 7869,https://www.congress.gov/bill/119th-congress/house-bill/7869,119th Congress (2025-2026),"To allow public housing projects under the rental demonstration program to retain prior approval of housing plans, and for other purposes.","Goldman, Daniel S. [Rep.-D-NY-10]",2026-03-09,House - Financial Services,Referred to the House Committee on Financial Services.,2026-03-09,0,housing,[]
